movie_title,사극,SF,어드벤처,액션,범죄,판타지,가족,미스터리,스릴러,뮤지컬,코미디,공포(호러),애니메이션,드라마,서부극(웨스턴),전쟁,멜로/로맨스,기타,다큐멘터리,공연,성인물(에로),director_power,actor_power,1주차스크린점유율,2주동안의 경쟁영화수,1주차실관람객평균평점,누적_매출액,nationality_한국영화,watch_grade_15세이상관람가,watch_grade_전체관람가,watch_grade_청소년관람불가
0.0MHz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.311211256855074,0.07060000000000001,5.0369526024136295,1.8852160803864302,20.771732502129023,1.0,1.0,0.0,0.0
12 솔져스,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.378307249332597,0.029199999999999997,4.7535901911063645,2.312535423847214,21.28038714539608,0.0,1.0,0.0,0.0
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.69170808995011,0.20939999999999998,4.30406509320417,2.322997202851323,24.320856544600492,1.0,1.0,0.0,0.0
1급기밀,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.493524338877027,0.0738,4.912654885736052,2.3015522587843744,21.219533344307802,1.0,0.0,0.0,0.0
23 아이덴티티,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.40984239935577,15.422220819739334,0.11840000000000002,4.499809670330265,2.1833374548658804,23.269788306250103,0.0,1.0,0.0,0.0
47 미터,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1142,4.61512051684126,2.1510412621880746,22.258921518198203,0.0,1.0,0.0,0.0
50가지 그림자: 심연,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.95586625300233,0.06750000000000002,4.770684624465665,2.200903209005251,21.14909648643391,0.0,0.0,0.0,1.0
50가지 그림자: 해방,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.740413360075628,0.0318,4.5217885770490405,2.2569098160992778,21.262893530684874,0.0,0.0,0.0,1.0
7년의 밤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.095825128972205,0.1462,4.574710978503382,1.9834618695004957,22.072562580503853,1.0,1.0,0.0,0.0
7호실,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.306432662494817,0.0932,4.61512051684126,2.1060176370608965,21.68029226457719,1.0,1.0,0.0,0.0
